c,replicate,d_prime,meta_d,M_ratio,m_dist_R1,m_dist_R2,m_dist2_R1,m_dist2_R2,mean_conf_R1,mean_conf_R2
-0.5,15,1.9768008862344357,2.029587257804076,1.0267029279161202,0.24976561254457874,0.24379018677610717,0.5069211046581069,0.4947934566584629,0.6853305240979721,0.8084152829276157
-0.5,16,1.977602751914611,1.9945345555103795,1.0085617819753618,0.251800336845699,0.24966531162492628,0.5022244729279002,0.4979660913481827,0.6870494132505394,0.8049166048327258
-0.5,17,1.9799879535095406,2.0393980961227185,1.0300053050867672,0.24899363073428116,0.24326073261660558,0.5077971364661762,0.4961054749597231,0.6883049168361228,0.8073067064663704
-0.5,18,1.9872034386729118,1.9799831142304147,0.9963665902031053,0.25279051951632553,0.25320748801810494,0.5005209600798587,0.5013465506725479,0.6872090562843842,0.8035117056856187
-0.5,19,2.0256141567933748,2.0134048103198703,0.9939725211573204,0.25357983389713934,0.24984644520736665,0.5105588573686141,0.503042034621832,0.6871797553069121,0.8046252510202759
-0.3999999999999999,0,1.9921739431830874,2.021721572388052,1.0148318520609467,0.2479210374479952,0.25189110008685756,0.501227309657438,0.5092536709381579,0.7049821711568938,0.794585346215781
-0.3999999999999999,1,1.9787679318112448,2.0223425940360555,1.0220211079451471,0.24917439171387168,0.25159156533942917,0.5039159857059875,0.508804338886133,0.7020684168655529,0.7948675053533191
-0.3999999999999999,2,1.994626426815353,1.9898706978773333,0.9976157295049917,0.25020611210669524,0.2528236217321597,0.4978778109109239,0.5030863166160476,0.7049888309754282,0.7954111539105677
-0.3999999999999999,3,2.01305900603717,1.990307042906863,0.9886978160788761,0.24943780649813202,0.24390593149524023,0.4964578230404714,0.4854476932617355,0.7057149987521837,0.803871183046888
-0.3999999999999999,4,2.0077713711447203,1.9958980303588663,0.9940863083533836,0.24775043787354936,0.2495766538507219,0.49448461097236385,0.49812955184421237,0.7056817611955268,0.7995608636348515
-0.3999999999999999,5,1.996998112087688,1.9884874716918808,0.9957382832040286,0.2503466672248744,0.2529337575723142,0.49781121135647916,0.5029556081004981,0.7057715192383974,0.7952198980960042
