tauN,replicate,m_dist_R1,m_dist_R2,m_dist2_R1,m_dist2_R2,mean_conf_R1,mean_conf_R2
-1.065,13,0.5338376216768405,0.24660227662886944,1.0682146424131513,0.49345372459875275,0.49194740838428647,0.7610201385274452
-1.065,14,0.5278791078090891,0.25292784225600184,1.0379762064340445,0.49733561780092267,0.4996986378430506,0.7587703579819217
-1.065,15,0.5351758856730807,0.2496668745567509,1.0614448196482538,0.49517853425465636,0.491477729538511,0.7609855118611686
-1.065,16,0.5243311160595798,0.2486463239869659,1.0630611902504363,0.5041208675834988,0.4976523937557687,0.7594593517004904
-1.065,17,0.5316936606274485,0.25083898841053753,1.0532308088549174,0.49688640324244054,0.49639336378937243,0.7598818174558811
-1.065,18,0.5370970473524231,0.24903865073345946,1.0820214179893648,0.5017066381747635,0.487713953581593,0.7599888236937692
-1.065,19,0.5357579554796401,0.2562070373202715,1.0350053028708115,0.4949541850888636,0.4971149222631832,0.7567081935793004
-0.9925,0,0.4931646747931193,0.2517085553886666,1.0048204976512827,0.512854891715075,0.5251170796141376,0.7550465683335332
-0.9925,1,0.5004498412479974,0.249836181094709,0.995564092309076,0.49700871167678734,0.524113446886593,0.7580121134330753
-0.9925,2,0.48783701560525844,0.24734313554161513,0.983899495755373,0.49885674631723215,0.5307904964141191,0.7603530210454854
-0.9925,3,0.4889693092029936,0.2508783456156363,0.9916485183016802,0.5087909098205615,0.5285920230658337,0.7554738692664216
-0.9925,4,0.48981279639927994,0.2543463140490734,0.9750294630489964,0.5063059843246758,0.5315268368942158,0.7549594858899134
-0.9925,5,0.5018324789404144,0.2543904637685685,0.9916559700369998,0.5026932944819128,0.5235390584376625,0.7557102284091364
-0.9925,6,0.49346472034560945,0.25251900446327186,0.9768414645621727,0.4998757235915923,0.5297025723472669,0.7586783439490445
-0.9925,7,0.5022567159424197,0.2487640582409089,0.9946120198781477,0.4926240199214001,0.5231431646932185,0.7593209455391902
-0.9925,8,0.4960417299711472,0.2507681821876619,0.9762795135673074,0.49354686134686426,0.5295507327620725,0.7596499640374011
-0.9925,9,0.4971569524560071,0.25117527874975076,0.9974073188545263,0.5039134223160557,0.5251548451548451,0.7571171171171172
-0.9925,10,0.4965048101573916,0.248175153212255,0.9918660088107494,0.4957786786085802,0.5263094617881617,0.7610093025112789
-0.9925,11,0.4999513000845825,0.2555017648985714,1.0003037025072867,0.5112085144732057,0.5234628155378646,0.7537895452545694
-0.9925,12,0.4974902442144863,0.24956612944088816,0.990121362227566,0.49669467677307666,0.5256019261637239,0.760645933014354
-0.9925,13,0.5030995022194749,0.24773894258462287,1.0070475088326551,0.4958957102323747,0.5224920382165605,0.760048231511254
-0.9925,14,0.4974118299562412,0.2497235426834444,0.981105506661456,0.4925599435206201,0.5286336570355273,0.7601793650158145
-0.9925,15,0.4943993040525581,0.2453822963626999,0.9895482561583792,0.49113666113096927,0.5276643446232685,0.7634481656142594
-0.9925,16,0.49059131471222844,0.2524688082340731,0.9838486931137872,0.5063096299998496,0.5288465404253608,0.7568352767938871
-0.9925,17,0.4912658761966099,0.24975734264665622,0.9836070308386218,0.5000613519765513,0.5285427539140908,0.7591869270625747
-0.9925,18,0.4956519283492479,0.25179748102081984,0.9906406909894244,0.5032580654303429,0.5268010377170226,0.7554620164361595
-0.9925,19,0.49247244150818553,0.25140138824841546,0.9969872852666157,0.5089502811862016,0.5271401674478228,0.756879817869553
-0.92,0,0.4667641363090672,0.24805070830633402,0.9352263126293092,0.4970037996252856,0.5533922599139991,0.7585999035524835
-0.92,1,0.4558533337117836,0.24451258108830795,0.9284969695911083,0.49803121701186204,0.5597074574374551,0.7611498118344143
-0.92,2,0.46067463721744034,0.24814551391236028,0.9209752546922743,0.49608955955678413,0.5601340300769875,0.7589747703662107
-0.92,3,0.45347906000887006,0.2475627719248024,0.9008236686026984,0.4917766311202804,0.5666320664324497,0.7607005450464892
-0.92,4,0.46105628757898703,0.25014024085215913,0.9186832484915549,0.49841994401855494,0.5590094415106417,0.7585186370180771
-0.92,5,0.4572358165358066,0.24669324565822226,0.9307668225851261,0.5021782636236989,0.5575869104292515,0.7591489021317442
-0.92,6,0.4647279121586665,0.2414671989640147,0.9337101447120071,0.4851448931496865,0.5550601162512939,0.7640462985290571
-0.92,7,0.46128662355698885,0.25218493879317355,0.90363440096135,0.4940160292111541,0.563382535301412,0.7595296188152474
-0.92,8,0.4594646403168986,0.25046022422580183,0.9122698973836101,0.49729033097205827,0.5612539034350228,0.7592518583646392
-0.92,9,0.45441473352996786,0.24985111490336542,0.9041053574091992,0.49710476987405366,0.5648408051968883,0.7597558056021068
-0.92,10,0.4591994159418927,0.24709038012156337,0.9201249657861875,0.4951095747565564,0.5616361970765126,0.7596914795323987
-0.92,11,0.452660516157864,0.24720468528511308,0.9357848798211004,0.5110461338096179,0.5584108402822322,0.7576628352490421
-0.92,12,0.45472200456204337,0.24969028138007954,0.9210834960185919,0.5057718671805551,0.5588554434754652,0.7579726878209977
