tauY,replicate,m_dist_R1,m_dist_R2,m_dist2_R1,m_dist2_R2,mean_conf_R1,mean_conf_R2
0.4125,11,0.246237796904585,0.20764713596417853,0.49883874813111767,0.4206601856396566,0.7590892692508118,0.7975092803257094
0.4125,12,0.2443585461088604,0.20742400931412575,0.4986641327365441,0.42329157445259014,0.7598442580179023,0.7972256547215689
0.4125,13,0.24249311111634478,0.21110425451689843,0.48182249783423936,0.4194543042749189,0.765602438633082,0.7967927237912877
0.4125,14,0.24919064326061827,0.20506630523224495,0.5017111192630492,0.41287282770728073,0.7587217471596611,0.8025985413096329
0.4125,15,0.2507370950265831,0.20358378478496447,0.506186391324189,0.4109936000554526,0.7562921303498066,0.8009145974567773
0.4125,16,0.24646106049364003,0.20955533810805538,0.4930684813567141,0.41923512020187037,0.7611006377602182,0.7979177470182297
0.4125,17,0.2529426677394977,0.20189782027887218,0.5021416306774628,0.40080743043901723,0.7578293091082955,0.804875110432897
0.4125,18,0.24784857330737042,0.20547630393576247,0.4952299756981761,0.41056530464051966,0.7613450081963936,0.8020328944735684
0.4125,19,0.2453820137230862,0.2063903551916035,0.49313387986687235,0.4147739888449769,0.7612502504508114,0.7992014374126573
0.48499999999999993,0,0.2531765293419692,0.24175827412470904,0.5043268825369126,0.4815817525965557,0.7567535261773847,0.7664043048751105
0.48499999999999993,1,0.24318197090938956,0.24342833597301156,0.48894547529192267,0.48944082074322204,0.7620796835264199,0.7660839576644072
0.48499999999999993,2,0.25109373726207646,0.2420962924204302,0.4999977096420023,0.48208128582949633,0.7569768834590969,0.7652386486594798
0.48499999999999993,3,0.25052483809979265,0.2415704542029872,0.507250626789074,0.48912022152221063,0.7570052364392214,0.7653204178841613
0.48499999999999993,4,0.2515107354844481,0.23602172303237534,0.5066107190950985,0.4754116542865797,0.7570666454335536,0.7694719074029419
0.48499999999999993,5,0.2590724295190191,0.24136345529588846,0.5196532268312235,0.48413217344856235,0.7509078574564029,0.7662483460967884
0.48499999999999993,6,0.24787210491821252,0.23932352759452688,0.49372959806334815,0.47670192305558795,0.7607880673207307,0.7675118350316938
0.48499999999999993,7,0.2481749091268147,0.24491603230914538,0.5031404669929987,0.4965335428293762,0.7560030671132814,0.7628563498671742
0.48499999999999993,8,0.25175460989161025,0.24910257487608428,0.5018887425497052,0.49660174296025106,0.757343191224334,0.7619559590650261
0.48499999999999993,9,0.2551204735607102,0.24157274960491054,0.5123069082435906,0.4851017511009134,0.754645656758585,0.7649684345972898
0.48499999999999993,10,0.2498593363783956,0.2425063723568142,0.4945846937202721,0.48002985053825653,0.758803666184274,0.7680703709600382
0.48499999999999993,11,0.2469766815621532,0.25005869029303,0.4872244247169065,0.49330447211804573,0.7606703008277811,0.7619575985734099
0.48499999999999993,12,0.2522070582455584,0.24240998751253648,0.5068028926557152,0.48711595835027693,0.7559225558183349,0.7666946074322436
0.48499999999999993,13,0.2504438069390535,0.24543117695215275,0.506886003322081,0.49674068565083646,0.7568539685077132,0.7614300584514373
0.48499999999999993,14,0.25130306797944224,0.24486025627583666,0.5089303644742915,0.49588260292120356,0.754658011780262,0.7613704428383181
0.48499999999999993,15,0.2478868256195599,0.24149972852853493,0.5023528304710133,0.4894091159587549,0.7584849580270715,0.7664024220212724
0.48499999999999993,16,0.24853402926766407,0.241392726738627,0.5016817276856372,0.4872665548368733,0.7584339524248866,0.7663036974991025
0.48499999999999993,17,0.24795499547848213,0.24919846545034682,0.47994767646393455,0.4823545669667755,0.7635824958962245,0.7628581704831555
0.48499999999999993,18,0.2518790737300196,0.2441429217023799,0.5057124608397688,0.4901801324831795,0.7561687662467507,0.7633926785357071
0.48499999999999993,19,0.25137240896108,0.24320735955237135,0.5010665601304354,0.4847909742877977,0.756221493158358,0.7641366072142686
0.5575,0,0.2522546051012383,0.2812232306217113,0.5118851495002943,0.5706694448332343,0.7546331505423688,0.7269856497581645
0.5575,1,0.25106522695661354,0.2836070274971445,0.49987299063117324,0.5646639907784353,0.7579793616510679,0.7263781102488199
0.5575,2,0.24992165205773925,0.2803088156667297,0.5072549308596407,0.5689304137503266,0.7556863687329809,0.7269458206808375
0.5575,3,0.2522449357104222,0.2807898456002516,0.5001825341716776,0.5567849207614636,0.7558817615121657,0.7316490948876069
0.5575,4,0.2456899837235433,0.28206121074322543,0.4857392541952836,0.5576466735330903,0.7632234726688103,0.7307324840764331
0.5575,5,0.2540930959464168,0.2822665859400498,0.5100432368974728,0.5665961234587094,0.7544730416683345,0.7277851061278331
0.5575,6,0.24951753782385222,0.28229063096385476,0.4971675386692946,0.56246843171713,0.7596003996003996,0.728048048048048
0.5575,7,0.2501300686089138,0.2824456401580881,0.4888188981682252,0.5519718895946263,0.7617982017982018,0.7301701701701702
